service_id,date,exception_type
50906-_L9002-LAMJV,20260401,1
50906-_L9003-LAMJV,20260401,1
50906-_L9004-LAMJV,20260401,1
50906-_L9005-LAMJV,20260401,1
50906-_L9006-LAMJV,20260401,1
50906-_L9007-LAMJV,20260401,1
50906-_L9008-LAMJV,20260401,1
50906-_L9009-LAMJV,20260401,1
50906-_L9010-LAMJV,20260401,1
50906-_L9011-LAMJV,20260401,1
50906-_L9012-LAMJV,20260401,1
50906-_L9013-LAMJV,20260401,1
50906-_L9014-LAMJV,20260401,1
50906-_L9015-LAMJV,20260401,1
50906-_L9016-LAMJV,20260401,1
50906-_L9017-LAMJV,20260401,1
50906-_L9018-LAMJV,20260401,1
50906-_L9019-LAMJV,20260401,1
50906-_L9020-LAMJV,20260401,1
50906-_L9021-LAMJV,20260401,1
50906-_L9022-LAMJV,20260401,1
50906-_L9023-LAMJV,20260401,1
50906-_L9024-LAMJV,20260401,1
50906-_L9025-LAMJV,20260401,1
50906-_L9026-LAMJV,20260401,1
50906-_L9027-LAMJV,20260401,1
50906-_L9050-LAMJV,20260401,1
50906-_L9051-LAMJV,20260401,1
50906-_L9052-LAMJV,20260401,1
50906-_L9053-LAMJV,20260401,1
50906-_L9054-LAMJV,20260401,1
50906-_L9055-LAMJV,20260401,1
50906-_L9056-LAMJV,20260401,1
50906-_L9057-LAMJV,20260401,1
50906-_L9058-LAMJV,20260401,1
50906-_L9059-LAMJV,20260401,1
50914-_L9201-LAMJV,20260401,1
50914-_L9202-LAMJV,20260401,1
50914-_L9203-LAMJV,20260401,1
50914-_L9204-LAMJV,20260401,1
50914-_L9205-LAMJV,20260401,1
50914-_L9206-LAMJV,20260401,1
50914-_L9207-LAMJV,20260401,1
50914-_L9208-LAMJV,20260401,1
50914-_L9209-LAMJV,20260401,1
50914-_L9210-LAMJV,20260401,1
50914-_L9211-LAMJV,20260401,1
50914-_L9212-LAMJV,20260401,1
50914-_L9213-LAMJV,20260401,1
50914-_L9214-LAMJV,20260401,1
50914-_L9215-LAMJV,20260401,1
50914-_L9216-LAMJV,20260401,1
50914-_L9217-LAMJV,20260401,1
50914-_L9218-LAMJV,20260401,1
50914-_L9219-LAMJV,20260401,1
50914-_L9220-LAMJV,20260401,1
50914-_L9221-LAMJV,20260401,1
50914-_L9222-LAMJV,20260401,1
50914-_L9224-LAMJV,20260401,1
50914-_L9225-LAMJV,20260401,1
50914-_L9226-LAMJV,20260401,1
50914-_L9227-LAMJV,20260401,1
50914-_L9228-LAMJV,20260401,1
50914-_L9229-LAMJV,20260401,1
50917-_L9901-LAMJV,20260401,1
50917-_L9902-LAMJV,20260401,1
50917-_L9903-LAMJV,20260401,1
50917-_L9904-LAMJV,20260401,1
50917-_L9905-LAMJV,20260401,1
50917-_L9906-LAMJV,20260401,1
50917-_L9907-LAMJV,20260401,1
50917-_L9908-LAMJV,20260401,1
50917-_L9909-LAMJV,20260401,1
50917-_L9910-LAMJV,20260401,1
50917-_L9911-LAMJV,20260401,1
50917-_L9916-LAMJV,20260401,1
50917-_L9919-LAMJV,20260401,1
50917-_L9923-LAMJV,20260401,1
50917-_L9927-LAMJV,20260401,1
50917-_L9928-LAMJV,20260401,1
50917-_L9950-LAMJV,20260401,1
50917-_L9951-LAMJV,20260401,1
50917-_L9952-LAMJV,20260401,1
50917-_L9953-LAMJV,20260401,1
50917-_L9954-LAMJV,20260401,1
50917-_L9955-LAMJV,20260401,1
50917-_L9956-M,20260401,1
50917-_L9957-LAMJV,20260401,1
50917-_L9958-LAMJV,20260401,1
50917-_L9959-LAMJV,20260401,1
50917-_L9960-LAMJV,20260401,1
50917-_L9961-LAMJV,20260401,1
50917-_L9962-LAMJV,20260401,1
50917-_L9963-LAMJV,20260401,1
50917-_L9964-LAMJV,20260401,1
50917-_L9965-LAMJV,20260401,1
